make,model,group_range,group_category,body_type,fuel_type,aliases,source
Volkswagen,Up,1-5,Cheapest,City car,,VW Up,
Citroen,C1,1-5,Cheapest,City car,,Citroën C1,
Toyota,Aygo,1-5,Cheapest,City car,,,
Kia,Picanto,1-5,Cheapest,City car,,,
SEAT,Ibiza 1.0,1-5,Cheapest,Supermini,Petrol,,
Hyundai,i10,1-5,Cheapest,City car,,,
Ford,Fiesta 1.0,6-10,Low,Small car,Petrol,Fiesta,
Vauxhall,Adam,6-10,Low,Small car,Petrol,Adam Jam|Adam Glam,
Vauxhall,Corsa,6-10,Low,Small car,,,
Honda,Jazz,6-10,Low,Small car,,,
Mazda,2,6-10,Low,Small car,,Mazda2,
Hyundai,i20,6-10,Low,Small car,,,
Volkswagen,Polo,6-10,Low,Small car,,VW Polo,
Volkswagen,Polo 1.0 TSI,11-15,Below Average,Family hatchback,Petrol,VW Polo 1.0 TSI,
Skoda,Octavia 1.0,11-15,Below Average,Family car,Petrol,,
Ford,Focus 1.0,11-15,Below Average,Family hatchback,Petrol,,
Toyota,Corolla,16-20,Average,Family car,,,
Honda,Civic,16-20,Average,Family car,,,
Kia,Sportage,16-20,Average,SUV,,,
Nissan,Qashqai,16-20,Average,SUV,,,
BMW,1 Series,21-25,Above Average,Premium hatchback,,,
Audi,A3,21-25,Above Average,Premium car,,,
Volkswagen,Golf GTD,21-25,Above Average,Performance hatchback,Diesel,VW Golf GTD,
Mazda,CX-5,21-25,Above Average,SUV,,CX5,
BMW,3 Series,26-30,High,Premium car,,320d|320d Sport,
Audi,A4,26-30,High,Premium car,,,
Volkswagen,Golf R,26-30,High,Performance hatchback,Petrol,,
Mercedes-Benz,A-Class AMG,26-30,High,Performance car,,,
BMW,M135i,31-35,Very High,Performance hatchback,Petrol,,
Audi,S3,31-35,Very High,Performance car,Petrol,,
Mercedes-Benz,C300,31-35,Very High,Premium car,,,
Tesla,Model 3 LR,31-35,Very High,Electric car,Electric,,
BMW,M3,36-40,Premium,Performance car,Petrol,,
Audi,RS3,36-40,Premium,Performance car,Petrol,,
Porsche,Boxster,36-40,Premium,Sports car,Petrol,,
Tesla,Model S,36-40,Premium,Electric car,Electric,,
Porsche,911,41-45,Luxury,Sports car,Petrol,,
BMW,M5,41-45,Luxury,Performance car,Petrol,,
Mercedes-Benz,AMG GT,41-45,Luxury,Performance car,Petrol,,
Land Rover,Range Rover Sport SVR,41-45,Luxury,Large SUV,Petrol,Range Rover Sport SVR,
Ferrari,*,46-50,Supercar,Supercar,Petrol,,
Lamborghini,*,46-50,Supercar,Supercar,Petrol,,
McLaren,*,46-50,Supercar,Supercar,Petrol,,
Rolls-Royce,*,46-50,Supercar,Luxury car,,Rolls Royce,
BMW,X5,31-40,Premium,Large SUV,,,
Ford,Transit,LCV,Light Commercial Vehicle,Van,,Transit 350,
MINI,Countryman,16-25,Average to Above Average,Compact SUV,Petrol,MINI 1.6 (Countryman)|Cooper Countryman,
Skoda,Octavia,11-30,Model-dependent,Family car,Diesel,Octavia vRS TDI DSG|Octavia 2.0 Diesel,
Land Rover,Range Rover,31-50,Premium to Luxury,Large SUV,Diesel,Range Rover Vogue SDV8|Range Rover Diesel Estate 4.4,
