repair_part,billed_amount,vehicle_make,vehicle_model,repair_invoice_date
AdBlue (per litre),277.34,Ford,Fiesta Zetec,2025-11-09
AdBlue (per litre),288.66,Ford,Focus Titanium,2025-08-11
AdBlue (per litre),311.30,VW,Polo Match,2025-02-12
AdBlue (per litre),254.70,Vauxhall,Adam Glam,2026-05-08
AdBlue (per litre),266.02,Vauxhall,Adam Jam,2026-02-07
AdBlue (per litre),299.98,Vauxhall,Corsa SE,2025-05-13
Air filter (engine),20.04,Ford,Fiesta Zetec,2025-11-09
Air filter (engine),20.86,Ford,Focus Titanium,2025-08-11
Air filter (engine),22.50,VW,Polo Match,2025-02-12
Air filter (engine),18.41,Vauxhall,Adam Glam,2026-05-08
Air filter (engine),19.22,Vauxhall,Adam Jam,2026-02-07
Air filter (engine),21.68,Vauxhall,Corsa SE,2025-05-13
Air-con pressure test & regas,78.40,Ford,Fiesta Zetec,2025-11-09
Air-con pressure test & regas,81.60,Ford,Focus Titanium,2025-08-11
Air-con pressure test & regas,88.00,VW,Polo Match,2025-02-12
Air-con pressure test & regas,72.00,Vauxhall,Adam Glam,2026-05-08
Air-con pressure test & regas,75.20,Vauxhall,Adam Jam,2026-02-07
Air-con pressure test & regas,84.80,Vauxhall,Corsa SE,2025-05-13
Air-con refrigerant gas,259.70,Ford,Fiesta Zetec,2025-11-09
Air-con refrigerant gas,270.30,Ford,Focus Titanium,2025-08-11
Air-con refrigerant gas,291.50,VW,Polo Match,2025-02-12
Air-con refrigerant gas,238.50,Vauxhall,Adam Glam,2026-05-08
Air-con refrigerant gas,249.10,Vauxhall,Adam Jam,2026-02-07
Air-con refrigerant gas,280.90,Vauxhall,Corsa SE,2025-05-13
Alloy wheel (OEM),48.02,Ford,Fiesta Zetec,2025-11-09
Alloy wheel (OEM),49.98,Ford,Focus Titanium,2025-08-11
Alloy wheel (OEM),53.90,VW,Polo Match,2025-02-12
Alloy wheel (OEM),44.10,Vauxhall,Adam Glam,2026-05-08
Alloy wheel (OEM),46.06,Vauxhall,Adam Jam,2026-02-07
Alloy wheel (OEM),51.94,Vauxhall,Corsa SE,2025-05-13
Anti-roll bar bush kit,11.16,Ford,Fiesta Zetec,2025-11-09
Anti-roll bar bush kit,11.62,Ford,Focus Titanium,2025-08-11
Anti-roll bar bush kit,12.53,VW,Polo Match,2025-02-12
Anti-roll bar bush kit,10.25,Vauxhall,Adam Glam,2026-05-08
Anti-roll bar bush kit,10.71,Vauxhall,Adam Jam,2026-02-07
Anti-roll bar bush kit,12.07,Vauxhall,Corsa SE,2025-05-13
Antifreeze / coolant (per litre),19.11,Ford,Fiesta Zetec,2025-11-09
Antifreeze / coolant (per litre),19.89,Ford,Focus Titanium,2025-08-11
